"No.","Time","Source","Destination","Protocol","Length","Info"
"14","2.677419","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=711/50946, ttl=128 (reply in 15)"
"15","2.679488","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=711/50946, ttl=255 (request in 14)"
"16","2.692781","10.50.2.176","224.0.0.251","MDNS","125","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"17","3.689281","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=712/51202, ttl=128 (reply in 18)"
"18","3.691246","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=712/51202, ttl=255 (request in 17)"
"19","3.924119","10.50.3.68","224.0.0.251","MDNS","225","Standard query 0x0000 ANY {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local, ""QU"" question ANY Android-63.local, ""QU"" question ANY Android-63.local, ""QU"" question SRV 0 0 56666 Android-63.local A 10.50.3.68 AAAA fe80::dd8b:ba75:50e6:b64e"
"20","4.421224","10.50.3.68","224.0.0.251","MDNS","225","Standard query 0x0000 ANY {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local, ""QM"" question ANY Android-63.local, ""QM"" question ANY Android-63.local, ""QM"" question SRV 0 0 56666 Android-63.local A 10.50.3.68 AAAA fe80::dd8b:ba75:50e6:b64e"
"21","4.671246","10.50.3.68","224.0.0.251","MDNS","588","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-63.local PTR, cache flush Android-63.local PTR, cache flush Android-63.local A, cache flush 10.50.3.68 AAAA, cache flush fe80::dd8b:ba75:50e6:b64e NSEC, cache flush {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local NSEC, cache flush 68.3.50.10.in-addr.arpa NSEC, cache flush E.4.6.B.6.E.0.5.5.7.A.B.B.8.D.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-63.local"
"22","4.703223","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=713/51458, ttl=128 (reply in 23)"
"23","4.705383","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=713/51458, ttl=255 (request in 22)"
"24","5.114318","10.50.3.215","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"25","5.120411","10.50.2.66","224.0.0.251","MDNS","103","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"26","5.708683","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=714/51714, ttl=128 (reply in 27)"
"27","5.713375","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=714/51714, ttl=255 (request in 26)"
"28","5.728392","208.103.161.2","10.50.2.42","TLSv1.2","78","Application Data"
"29","5.728875","10.50.2.42","208.103.161.2","TLSv1.2","82","Application Data"
"30","5.733635","208.103.161.2","10.50.2.42","TCP","60","443  >  50323 [ACK] Seq=25 Ack=29 Win=10 Len=0"
"31","6.727540","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=715/51970, ttl=128 (reply in 32)"
"32","6.743965","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=715/51970, ttl=255 (request in 31)"
"33","7.355470","10.50.2.66","224.0.0.251","MDNS","125","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"34","7.674577","10.50.3.68","224.0.0.251","MDNS","588","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-63.local PTR, cache flush Android-63.local PTR, cache flush Android-63.local A, cache flush 10.50.3.68 AAAA, cache flush fe80::dd8b:ba75:50e6:b64e NSEC, cache flush {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local NSEC, cache flush 68.3.50.10.in-addr.arpa NSEC, cache flush E.4.6.B.6.E.0.5.5.7.A.B.B.8.D.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-63.local"
"35","7.742440","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=716/52226, ttl=128 (reply in 36)"
"36","7.744417","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=716/52226, ttl=255 (request in 35)"
"37","8.129129","10.50.3.215","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"38","8.746554","Fortinet_98:5b:56","AzureWaveTec_0e:d2:87","ARP","60","Who has 10.50.2.42? Tell 10.50.3.254"
"39","8.746588","AzureWaveTec_0e:d2:87","Fortinet_98:5b:56","ARP","42","10.50.2.42 is at b4:8c:9d:0e:d2:87"
"40","8.753022","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=717/52482, ttl=128 (reply in 41)"
"41","8.755102","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=717/52482, ttl=255 (request in 40)"
"42","9.770426","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=718/52738, ttl=128 (reply in 43)"
"43","9.774132","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=718/52738, ttl=255 (request in 42)"
"44","9.985115","10.50.3.186","224.0.0.251","MDNS","125","Standard query 0x0000 ANY Android-4.local, ""QU"" question ANY Android-4.local, ""QU"" question A 10.50.3.186 AAAA fe80::ec89:a1ff:fe26:eea4"
"45","10.239268","10.50.3.186","224.0.0.251","MDNS","125","Standard query 0x0000 ANY Android-4.local, ""QM"" question ANY Android-4.local, ""QM"" question A 10.50.3.186 AAAA fe80::ec89:a1ff:fe26:eea4"
"46","10.485984","10.50.3.186","224.0.0.251","MDNS","125","Standard query 0x0000 ANY Android-4.local, ""QM"" question ANY Android-4.local, ""QM"" question A 10.50.3.186 AAAA fe80::ec89:a1ff:fe26:eea4"
"47","10.736862","10.50.3.186","224.0.0.251","MDNS","289","Standard query response 0x0000 PTR, cache flush Android-4.local PTR, cache flush Android-4.local A, cache flush 10.50.3.186 AAAA, cache flush fe80::ec89:a1ff:fe26:eea4 NSEC, cache flush 186.3.50.10.in-addr.arpa NSEC, cache flush 4.A.E.E.6.2.E.F.F.F.1.A.9.8.C.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-4.local"
"48","10.786832","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=719/52994, ttl=128 (reply in 49)"
"49","10.788870","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=719/52994, ttl=255 (request in 48)"
"50","11.144833","10.50.3.215","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"51","11.677419","10.50.3.68","224.0.0.251","MDNS","588","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-63.local PTR, cache flush Android-63.local PTR, cache flush Android-63.local A, cache flush 10.50.3.68 AAAA, cache flush fe80::dd8b:ba75:50e6:b64e NSEC, cache flush {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local NSEC, cache flush 68.3.50.10.in-addr.arpa NSEC, cache flush E.4.6.B.6.E.0.5.5.7.A.B.B.8.D.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-63.local"
"52","11.736455","10.50.3.186","224.0.0.251","MDNS","289","Standard query response 0x0000 PTR, cache flush Android-4.local PTR, cache flush Android-4.local A, cache flush 10.50.3.186 AAAA, cache flush fe80::ec89:a1ff:fe26:eea4 NSEC, cache flush 186.3.50.10.in-addr.arpa NSEC, cache flush 4.A.E.E.6.2.E.F.F.F.1.A.9.8.C.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-4.local"
"53","11.803170","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=720/53250, ttl=128 (reply in 54)"
"54","11.806607","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=720/53250, ttl=255 (request in 53)"
"55","12.566049","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<20>"
"56","12.823228","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=721/53506, ttl=128 (reply in 57)"
"57","12.825965","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=721/53506, ttl=255 (request in 56)"
"58","13.741323","10.50.3.186","224.0.0.251","MDNS","289","Standard query response 0x0000 PTR, cache flush Android-4.local PTR, cache flush Android-4.local A, cache flush 10.50.3.186 AAAA, cache flush fe80::ec89:a1ff:fe26:eea4 NSEC, cache flush 186.3.50.10.in-addr.arpa NSEC, cache flush 4.A.E.E.6.2.E.F.F.F.1.A.9.8.C.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-4.local"
"59","13.837461","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=722/53762, ttl=128 (reply in 60)"
"60","13.839088","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=722/53762, ttl=255 (request in 59)"
"61","14.067951","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<20>"
"62","14.864319","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=723/54018, ttl=128 (reply in 63)"
"63","14.866563","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=723/54018, ttl=255 (request in 62)"
"64","14.897225","10.50.2.42","67.215.246.10","BT-DHT","153","Get_peers Info_hash=c7371e18272967e49d715a1cfca9f60b71f963c8"
"65","14.898797","10.50.2.42","82.221.103.244","BT-DHT","153","Get_peers Info_hash=c7371e18272967e49d715a1c48f24fbb2f5e442d"
"66","14.900170","10.50.2.42","185.157.221.247","BT-DHT","153","Get_peers Info_hash=c7371e18272967e49d715a1c877bb0bca527cfb7"
"67","15.568789","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<20>"
"68","15.713623","10.50.2.42","172.217.29.238","TCP","66","60363  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"69","15.725860","172.217.29.238","10.50.2.42","TCP","66","443  >  60363 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"70","15.726084","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"71","15.727035","10.50.2.42","172.217.29.238","TCP","1466","60363  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1412 [TCP PDU reassembled in 72]"
"72","15.727035","10.50.2.42","172.217.29.238","TLSv1.3","908","Client Hello (SNI=android.clients.google.com)"
"73","15.729836","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"74","15.738523","172.217.29.238","10.50.2.42","TCP","66","443  >  60363 [ACK] Seq=1 Ack=2267 Win=994048 Len=0 SLE=1 SRE=2267"
"75","15.793676","172.217.29.238","10.50.2.42","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"76","15.793676","172.217.29.238","10.50.2.42","TLSv1.3","117","Application Data"
"77","15.793870","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [ACK] Seq=2267 Ack=1476 Win=65280 Len=0"
"78","15.794909","10.50.2.42","172.217.29.238","TLSv1.3","128","Change Cipher Spec, Application Data"
"79","15.795207","10.50.2.42","172.217.29.238","TLSv1.3","146","Application Data"
"80","15.795686","10.50.2.42","172.217.29.238","TLSv1.3","394","Application Data"
"81","15.795750","10.50.2.42","172.217.29.238","TLSv1.3","158","Application Data"
"82","15.806272","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=1476 Ack=2341 Win=267520 Len=0"
"83","15.806272","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=1476 Ack=2433 Win=267520 Len=0"
"84","15.806272","172.217.29.238","10.50.2.42","TLSv1.3","1036","Application Data, Application Data"
"85","15.806272","172.217.29.238","10.50.2.42","TLSv1.3","85","Application Data"
"86","15.806465","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [ACK] Seq=2877 Ack=2489 Win=64512 Len=0"
"87","15.806762","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=2489 Ack=2877 Win=267264 Len=0"
"88","15.806898","10.50.2.42","172.217.29.238","TLSv1.3","85","Application Data"
"89","15.822945","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=2489 Ack=2908 Win=267264 Len=0"
"90","15.871682","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=724/54274, ttl=128 (reply in 91)"
"91","15.874188","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=724/54274, ttl=255 (request in 90)"
"92","15.997602","172.217.29.238","10.50.2.42","TLSv1.3","343","Application Data"
"93","16.000051","172.217.29.238","10.50.2.42","TLSv1.3","320","Application Data"
"94","16.000051","172.217.29.238","10.50.2.42","TLSv1.3","85","Application Data"
"95","16.000051","172.217.29.238","10.50.2.42","TLSv1.3","93","Application Data"
"96","16.000226","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [ACK] Seq=2908 Ack=3114 Win=65280 Len=0"
"97","16.001493","10.50.2.42","172.217.29.238","TLSv1.3","93","Application Data"
"98","16.002689","10.50.2.42","10.50.0.2","DNS","70","Standard query 0x3784 A google.com"
"99","16.003199","10.50.2.42","10.50.0.2","DNS","70","Standard query 0x27ea HTTPS google.com"
"100","16.007749","10.50.0.2","10.50.2.42","DNS","343","Standard query response 0x27ea HTTPS google.com HTTPS NS ns4.google.com NS ns2.google.com NS ns3.google.com NS ns1.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"101","16.007749","10.50.0.2","10.50.2.42","DNS","334","Standard query response 0x3784 A google.com A 172.217.30.14 NS ns2.google.com NS ns1.google.com NS ns3.google.com NS ns4.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"102","16.008724","10.50.2.42","172.217.30.14","TCP","66","60364  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"103","16.012065","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [ACK] Seq=3114 Ack=2947 Win=267264 Len=0"
"104","16.021098","172.217.30.14","10.50.2.42","TCP","66","443  >  60364 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"105","16.021326","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"106","16.022331","10.50.2.42","172.217.30.14","TCP","1466","60364  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1412 [TCP PDU reassembled in 107]"
"107","16.022331","10.50.2.42","172.217.30.14","TLSv1.3","394","Client Hello (SNI=google.com)"
"108","16.025054","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"109","16.033631","172.217.30.14","10.50.2.42","TCP","66","443  >  60364 [ACK] Seq=1 Ack=1753 Win=994048 Len=0 SLE=1 SRE=1753"
"110","16.054724","10.50.3.90","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"111","16.090011","172.217.30.14","10.50.2.42","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"112","16.092104","172.217.30.14","10.50.2.42","TCP","1466","443  >  60364 [PSH, ACK] Seq=1413 Ack=1753 Win=268032 Len=1412 [TCP PDU reassembled in 114]"
"113","16.092104","172.217.30.14","10.50.2.42","TCP","4290","443  >  60364 [PSH, ACK] Seq=2825 Ack=1753 Win=268032 Len=4236 [TCP PDU reassembled in 114]"
"114","16.092104","172.217.30.14","10.50.2.42","TLSv1.3","825","Application Data"
"115","16.092265","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [ACK] Seq=1753 Ack=7832 Win=65280 Len=0"
"116","16.095230","10.50.2.42","172.217.30.14","TLSv1.3","128","Change Cipher Spec, Application Data"
"117","16.095660","10.50.2.42","172.217.30.14","TLSv1.3","146","Application Data"
"118","16.095830","10.50.2.42","172.217.30.14","TLSv1.3","301","Application Data"
"119","16.095884","10.50.2.42","172.217.30.14","TLSv1.3","353","Application Data"
"120","16.105824","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=7832 Ack=1827 Win=268032 Len=0"
"121","16.105824","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=7832 Ack=1919 Win=268032 Len=0"
"122","16.105824","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=7832 Ack=2166 Win=268032 Len=0"
"123","16.105824","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=7832 Ack=2465 Win=267776 Len=0"
"124","16.106959","172.217.30.14","10.50.2.42","TLSv1.3","1004","Application Data, Application Data"
"125","16.106959","172.217.30.14","10.50.2.42","TLSv1.3","85","Application Data"
"126","16.107057","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [ACK] Seq=2465 Ack=8813 Win=64512 Len=0"
"127","16.107366","10.50.2.42","172.217.30.14","TLSv1.3","85","Application Data"
"128","16.123957","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=8813 Ack=2496 Win=267776 Len=0"
"129","16.228064","172.217.30.14","10.50.2.42","TLSv1.3","644","Application Data"
"130","16.229061","10.50.2.42","172.217.30.14","TLSv1.3","89","Application Data"
"131","16.229297","172.217.30.14","10.50.2.42","TLSv1.3","85","Application Data"
"132","16.229297","172.217.30.14","10.50.2.42","TLSv1.3","93","Application Data"
"133","16.229386","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [ACK] Seq=2531 Ack=9473 Win=65280 Len=0"
"134","16.229629","10.50.2.42","172.217.30.14","TLSv1.3","93","Application Data"
"135","16.239973","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=9473 Ack=2531 Win=267776 Len=0"
"136","16.239973","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [ACK] Seq=9473 Ack=2570 Win=267776 Len=0"
"137","16.456112","10.50.3.84","239.255.255.250","SSDP","142","M-SEARCH * HTTP/1.1 "
"138","16.456684","10.50.3.84","239.255.255.250","SSDP","142","M-SEARCH * HTTP/1.1 "
"139","16.880294","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=725/54530, ttl=128 (reply in 140)"
"140","16.885842","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=725/54530, ttl=255 (request in 139)"
"141","16.933199","10.50.3.90","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"142","17.070847","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<00>"
"143","17.135347","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [FIN, ACK] Seq=2570 Ack=9473 Win=65280 Len=0"
"144","17.135706","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [FIN, ACK] Seq=2947 Ack=3114 Win=65280 Len=0"
"145","17.147143","172.217.29.238","10.50.2.42","TCP","60","443  >  60363 [FIN, ACK] Seq=3114 Ack=2948 Win=267264 Len=0"
"146","17.147143","172.217.30.14","10.50.2.42","TCP","60","443  >  60364 [FIN, ACK] Seq=9473 Ack=2571 Win=267776 Len=0"
"147","17.147291","10.50.2.42","172.217.29.238","TCP","54","60363  >  443 [ACK] Seq=2948 Ack=3115 Win=65280 Len=0"
"148","17.147416","10.50.2.42","172.217.30.14","TCP","54","60364  >  443 [ACK] Seq=2571 Ack=9474 Win=65280 Len=0"
"149","17.213794","10.50.2.42","208.103.161.2","TLSv1.2","117","Application Data"
"150","17.218673","208.103.161.2","10.50.2.42","TCP","60","443  >  50323 [ACK] Seq=25 Ack=92 Win=10 Len=0"
"151","17.431831","208.103.161.2","10.50.2.42","TLSv1.2","113","Application Data"
"152","17.482764","10.50.2.42","208.103.161.2","TCP","54","50323  >  443 [ACK] Seq=92 Ack=84 Win=255 Len=0"
"153","17.898101","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=726/54786, ttl=128 (reply in 154)"
"154","17.900764","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=726/54786, ttl=255 (request in 153)"
"155","18.585007","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<00>"
"156","18.903661","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=727/55042, ttl=128 (reply in 157)"
"157","18.907150","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=727/55042, ttl=255 (request in 156)"
"158","19.678661","10.50.3.68","224.0.0.251","MDNS","588","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-63.local PTR, cache flush Android-63.local PTR, cache flush Android-63.local A, cache flush 10.50.3.68 AAAA, cache flush fe80::dd8b:ba75:50e6:b64e NSEC, cache flush {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local NSEC, cache flush 68.3.50.10.in-addr.arpa NSEC, cache flush E.4.6.B.6.E.0.5.5.7.A.B.B.8.D.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-63.local"
"159","19.912961","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=728/55298, ttl=128 (reply in 160)"
"160","19.915659","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=728/55298, ttl=255 (request in 159)"
"161","19.936331","10.50.3.90","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question"
"162","20.098049","10.50.2.42","172.25.8.3","NBNS","110","Refresh NB VIVOBOOK<00>"
"163","20.361066","10.50.3.68","224.0.0.251","MDNS","225","Standard query 0x0000 ANY {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local, ""QU"" question ANY Android-63.local, ""QU"" question ANY Android-63.local, ""QU"" question SRV 0 0 56666 Android-63.local A 10.50.3.68 AAAA fe80::dd8b:ba75:50e6:b64e"
"164","20.476082","10.50.3.68","224.0.0.251","MDNS","151","Standard query 0x000b PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"165","20.608707","10.50.3.68","224.0.0.251","MDNS","225","Standard query 0x0000 ANY {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local, ""QM"" question ANY Android-63.local, ""QM"" question ANY Android-63.local, ""QM"" question SRV 0 0 56666 Android-63.local A 10.50.3.68 AAAA fe80::dd8b:ba75:50e6:b64e"
